Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-1.987800e+01,1.96,-0.02,0
-1.987760e+01,2,-0.04,0
-1.987720e+01,2,-0.02,0
-1.987680e+01,1.96,-0.04,0.02
-1.987640e+01,2,-0.02,0.02
-1.987600e+01,2,-0.04,0
-1.987560e+01,2,-0.02,0
-1.987520e+01,1.96,-0.02,0
-1.987480e+01,1.96,-0.02,0
-1.987440e+01,2,-0.02,0.02
-1.987400e+01,2,-0.04,0
-1.987360e+01,2.04,-0.04,0
-1.987320e+01,2.04,-0.02,0.02
-1.987280e+01,2,-0.02,0.02
-1.987240e+01,2,-0.02,0.02
-1.987200e+01,1.96,-0.04,0.04
-1.987160e+01,1.96,-0.02,0
-1.987120e+01,2,-0.02,0.02
-1.987080e+01,2,-0.02,0.04
-1.987040e+01,1.96,-0.02,0.02
-1.987000e+01,2,-0.02,0
-1.986960e+01,2,-0.02,0.02
-1.986920e+01,2,-0.04,0.02
-1.986880e+01,1.96,-0.02,0.04
-1.986840e+01,2,-0.02,0.02
-1.986800e+01,2,-0.02,0
-1.986760e+01,2,-0.02,0.02
-1.986720e+01,2,-0.02,0.02
-1.986680e+01,2.04,-0.02,0
-1.986640e+01,1.96,-0.02,0.04
-1.986600e+01,1.96,-0.02,0
-1.986560e+01,2,-0.02,0
-1.986520e+01,2,-0.02,0.02
-1.986480e+01,2,-0.04,0.02
-1.986440e+01,2,-0.02,0
-1.986400e+01,1.96,-0.02,0
-1.986360e+01,2,-0.02,0
-1.986320e+01,1.96,-0.02,0.02
-1.986280e+01,2,-0.02,0.02
-1.986240e+01,2,-0.04,0.02
-1.986200e+01,2.04,-0.04,0.02
-1.986160e+01,1.96,-0.04,0
-1.986120e+01,1.96,-0.04,0
-1.986080e+01,2,-0.04,0
-1.986040e+01,2,-0.04,0.02
-1.986000e+01,1.96,-0.02,0
-1.985960e+01,1.96,-0.02,0
-1.985920e+01,2,-0.02,0
-1.985880e+01,2.04,-0.04,0
-1.985840e+01,2.04,-0.02,0
-1.985800e+01,2.04,-0.02,-0.02
-1.985760e+01,2,-0.04,0
-1.985720e+01,2,-0.04,0
-1.985680e+01,1.96,-0.02,0.02
-1.985640e+01,1.96,-0.02,0
-1.985600e+01,2,-0.06,0.02
-1.985560e+01,2,-0.02,0
-1.985520e+01,2,-0.04,0
-1.985480e+01,2,-0.02,0
-1.985440e+01,1.96,-0.02,0
-1.985400e+01,2,-0.02,0
-1.985360e+01,2.04,-0.04,0
-1.985320e+01,2,-0.04,0
-1.985280e+01,1.96,-0.02,0.02
-1.985240e+01,1.92,-0.04,0
-1.985200e+01,2.04,-0.04,0.02
-1.985160e+01,2,-0.02,0
-1.985120e+01,2,-0.02,0
-1.985080e+01,2,-0.04,0
-1.985040e+01,2.04,-0.04,0.02
-1.985000e+01,1.96,-0.04,0
-1.984960e+01,2,-0.04,0.02
-1.984920e+01,2,-0.02,-0.02
-1.984880e+01,2.04,-0.02,0
-1.984840e+01,2,-0.04,0.04
-1.984800e+01,2,-0.02,0
-1.984760e+01,2.04,-0.02,0.02
-1.984720e+01,1.96,-0.02,0.02
-1.984680e+01,2,-0.04,0.04
-1.984640e+01,2,-0.02,0.02
-1.984600e+01,2,-0.02,0.02
-1.984560e+01,1.96,-0.04,0.04
-1.984520e+01,1.96,-0.02,0.02
-1.984480e+01,2,0,0.02
-1.984440e+01,2,-0.04,0
-1.984400e+01,2.04,-0.02,0.04
-1.984360e+01,2.04,-0.02,0
-1.984320e+01,2,-0.02,0.02
-1.984280e+01,1.96,0,0.02
-1.984240e+01,1.96,-0.02,0.02
-1.984200e+01,2,-0.02,0.02
-1.984160e+01,1.96,-0.04,0.02
-1.984120e+01,2.04,-0.04,0.04
-1.984080e+01,2.04,-0.04,0.02
-1.984040e+01,2,-0.02,0.04
-1.984000e+01,2,-0.04,0.06
-1.983960e+01,2,-0.02,0.06
-1.983920e+01,2,-0.02,0.04
-1.983880e+01,2,-0.02,0.06
-1.983840e+01,1.96,-0.04,0.02
-1.983800e+01,1.96,-0.04,0.04
-1.983760e+01,1.96,-0.04,0.06
-1.983720e+01,1.96,-0.02,0.02
-1.983680e+01,2.04,-0.04,0.06
-1.983640e+01,2,-0.06,0.06
-1.983600e+01,2,-0.04,0.06
-1.983560e+01,1.96,-0.04,0.06
-1.983520e+01,2,-0.06,0.06
-1.983480e+01,2,-0.04,0.04
-1.983440e+01,2,-0.04,0.04
-1.983400e+01,2,-0.04,0.06
-1.983360e+01,2,-0.06,0.02
-1.983320e+01,2,-0.06,0.06
-1.983280e+01,2,-0.06,0.08
-1.983240e+01,2,-0.02,0.06
-1.983200e+01,2,-0.04,0.06
-1.983160e+01,1.96,-0.04,0.06
-1.983120e+01,2,-0.02,0.08
-1.983080e+01,2.04,-0.04,0.06
-1.983040e+01,2,-0.04,0.06
-1.983000e+01,2,-0.04,0.06
-1.982960e+01,2,-0.04,0.08
-1.982920e+01,2.04,-0.04,0.06
-1.982880e+01,2,-0.06,0.06
-1.982840e+01,1.96,-0.04,0.06
-1.982800e+01,2.04,-0.02,0.06
-1.982760e+01,1.96,-0.04,0.08
-1.982720e+01,2,-0.06,0.1
-1.982680e+01,1.96,-0.04,0.08
-1.982640e+01,2.04,-0.06,0.08
-1.982600e+01,1.96,-0.06,0.08
-1.982560e+01,1.96,-0.04,0.1
-1.982520e+01,2,-0.04,0.1
-1.982480e+01,2,-0.04,0.08
-1.982440e+01,2,-0.06,0.08
-1.982400e+01,2,-0.06,0.08
-1.982360e+01,2,-0.04,0.08
-1.982320e+01,1.96,-0.04,0.08
-1.982280e+01,1.96,-0.08,0.08
-1.982240e+01,2.04,-0.04,0.08
-1.982200e+01,2,-0.06,0.1
-1.982160e+01,1.96,-0.06,0.08
-1.982120e+01,2,-0.06,0.08
-1.982080e+01,1.96,-0.06,0.1
-1.982040e+01,1.96,-0.06,0.08
-1.982000e+01,2,-0.08,0.12
-1.981960e+01,2,-0.04,0.08
-1.981920e+01,1.96,-0.06,0.1
-1.981880e+01,2,-0.06,0.1
-1.981840e+01,1.96,-0.04,0.12
-1.981800e+01,2,-0.06,0.1
-1.981760e+01,2.04,-0.02,0.14
-1.981720e+01,2.04,-0.04,0.12
-1.981680e+01,1.96,-0.08,0.12
-1.981640e+01,2.04,-0.06,0.12
-1.981600e+01,2.04,-0.06,0.12
-1.981560e+01,2,-0.04,0.14
-1.981520e+01,2,-0.04,0.1
-1.981480e+01,2,-0.06,0.12
-1.981440e+01,2,-0.06,0.12
-1.981400e+01,1.96,-0.06,0.14
-1.981360e+01,2,-0.06,0.12
-1.981320e+01,1.96,-0.08,0.12
-1.981280e+01,1.96,-0.08,0.1
-1.981240e+01,2,-0.06,0.12
-1.981200e+01,2,-0.04,0.12
-1.981160e+01,2,-0.06,0.12
-1.981120e+01,2,-0.06,0.1
-1.981080e+01,2,-0.1,0.14
-1.981040e+01,2,-0.08,0.12
-1.981000e+01,2,-0.08,0.12
-1.980960e+01,2.04,-0.04,0.12
-1.980920e+01,2,-0.06,0.14
-1.980880e+01,2,-0.08,0.1
-1.980840e+01,2,-0.06,0.1
-1.980800e+01,2,-0.1,0.12
-1.980760e+01,2,-0.06,0.14
-1.980720e+01,2,-0.08,0.14
-1.980680e+01,1.96,-0.1,0.12
-1.980640e+01,2,-0.06,0.14
-1.980600e+01,1.96,-0.06,0.14
-1.980560e+01,2.04,-0.06,0.14
-1.980520e+01,1.96,-0.08,0.14
-1.980480e+01,2,-0.08,0.14
-1.980440e+01,2,-0.08,0.12
-1.980400e+01,2,-0.06,0.12
-1.980360e+01,2,-0.06,0.14
-1.980320e+01,2,-0.1,0.14
-1.980280e+01,1.96,-0.08,0.14
-1.980240e+01,2.08,-0.08,0.14
-1.980200e+01,2,-0.08,0.16
-1.980160e+01,2.04,-0.08,0.14
-1.980120e+01,2,-0.06,0.14
-1.980080e+01,2,-0.08,0.16
-1.980040e+01,2,-0.1,0.12
-1.980000e+01,2.04,-0.1,0.14
-1.979960e+01,2,-0.1,0.14
-1.979920e+01,2,-0.08,0.14
-1.979880e+01,2,-0.08,0.14
-1.979840e+01,1.96,-0.08,0.14
-1.979800e+01,2,-0.1,0.14
-1.979760e+01,2,-0.08,0.16
-1.979720e+01,2,-0.06,0.14
-1.979680e+01,2.04,-0.08,0.14
-1.979640e+01,2,-0.08,0.14
-1.979600e+01,2.04,-0.08,0.14
-1.979560e+01,1.96,-0.08,0.14
-1.979520e+01,1.96,-0.08,0.14
-1.979480e+01,2.04,-0.08,0.14
-1.979440e+01,2.04,-0.08,0.16
-1.979400e+01,1.96,-0.08,0.16
-1.979360e+01,2.04,-0.08,0.16
-1.979320e+01,1.96,-0.08,0.14
-1.979280e+01,1.96,-0.08,0.12
-1.979240e+01,2,-0.08,0.14
-1.979200e+01,2,-0.08,0.14
-1.979160e+01,2.04,-0.1,0.14
-1.979120e+01,2,-0.08,0.14
-1.979080e+01,2.08,-0.08,0.16
-1.979040e+01,1.96,-0.08,0.16
-1.979000e+01,1.96,-0.1,0.14
-1.978960e+01,2.04,-0.08,0.16
-1.978920e+01,2,-0.06,0.16
-1.978880e+01,2.04,-0.08,0.14
-1.978840e+01,2.04,-0.08,0.16
-1.978800e+01,2,-0.08,0.14
-1.978760e+01,2,-0.08,0.18
-1.978720e+01,2,-0.08,0.16
-1.978680e+01,2,-0.08,0.16
-1.978640e+01,1.96,-0.06,0.16
-1.978600e+01,2,-0.08,0.14
-1.978560e+01,2,-0.08,0.16
-1.978520e+01,2,-0.06,0.18
-1.978480e+01,2,-0.06,0.14
-1.978440e+01,2.04,-0.08,0.14
-1.978400e+01,2,-0.06,0.16
-1.978360e+01,2.04,-0.08,0.14
-1.978320e+01,2,-0.06,0.16
-1.978280e+01,2.04,-0.08,0.16
-1.978240e+01,2.04,-0.08,0.18
-1.978200e+01,2,-0.08,0.18
-1.978160e+01,2,-0.08,0.16
-1.978120e+01,2,-0.08,0.16
-1.978080e+01,2,-0.08,0.16
-1.978040e+01,2,-0.1,0.18
-1.978000e+01,2,-0.1,0.16
-1.977960e+01,2,-0.08,0.16
-1.977920e+01,2.04,-0.08,0.16
-1.977880e+01,2,-0.08,0.14
-1.977840e+01,2,-0.08,0.18
-1.977800e+01,2.04,-0.08,0.16
-1.977760e+01,2,-0.08,0.16
-1.977720e+01,2,-0.08,0.16
-1.977680e+01,1.96,-0.08,0.16
-1.977640e+01,1.96,-0.08,0.16
-1.977600e+01,2.04,-0.08,0.18
-1.977560e+01,2.04,-0.1,0.18
-1.977520e+01,1.96,-0.08,0.16
-1.977480e+01,2,-0.08,0.16
-1.977440e+01,2.04,-0.08,0.16
-1.977400e+01,1.96,-0.08,0.18
-1.977360e+01,2.04,-0.08,0.16
-1.977320e+01,2,-0.08,0.18
-1.977280e+01,2.04,-0.1,0.14
-1.977240e+01,1.96,-0.1,0.16
-1.977200e+01,2,-0.1,0.16
-1.977160e+01,2.04,-0.12,0.14
-1.977120e+01,1.96,-0.1,0.14
-1.977080e+01,1.96,-0.1,0.16
-1.977040e+01,2,-0.1,0.18
-1.977000e+01,2.04,-0.1,0.16
-1.976960e+01,2.04,-0.1,0.18
-1.976920e+01,2,-0.1,0.16
-1.976880e+01,1.96,-0.12,0.18
-1.976840e+01,2.04,-0.1,0.18
-1.976800e+01,1.96,-0.12,0.2
-1.976760e+01,2.04,-0.1,0.2
-1.976720e+01,1.96,-0.12,0.16
-1.976680e+01,1.96,-0.1,0.18
-1.976640e+01,2.04,-0.12,0.2
-1.976600e+01,2,-0.14,0.18
-1.976560e+01,2,-0.14,0.2
-1.976520e+01,2,-0.12,0.18
-1.976480e+01,2,-0.12,0.22
-1.976440e+01,2,-0.12,0.2
-1.976400e+01,2,-0.12,0.2
-1.976360e+01,2,-0.14,0.18
-1.976320e+01,2,-0.12,0.2
-1.976280e+01,2,-0.14,0.22
-1.976240e+01,2,-0.1,0.18
-1.976200e+01,2,-0.12,0.22
-1.976160e+01,2,-0.16,0.22
-1.976120e+01,2.04,-0.16,0.2
-1.976080e+01,2,-0.14,0.22
-1.976040e+01,2,-0.16,0.22
-1.976000e+01,2,-0.12,0.22
-1.975960e+01,1.96,-0.16,0.22
